"基本時間割","月","月","月","月","月","月","火","火","火","火","火","火","水","水","水","水","水","水","木","木","木","木","木","木","金","金","金","金","金","金"
"","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"1年1組","英","保","技家","国","数","欠","社","音","国","数","家","欠","理","数","社","保","国","欠","数","技","国","道","英","YT","英","美","保","総","社","欠"
"1年2組","国","数","技家","社","音","欠","数","理","社","家","英","欠","社","理","国","音","英","欠","国","英","理","道","数","YT","数","保","美","総","国","欠"
"1年3組","国","英","技家","家","理","欠","英","社","音","理","数","欠","社","理","英","国","音","欠","保","社","英","道","国","YT","美","数","音","総","英","欠"
"1年5組","日生","理","国","社","英","欠","自立","国","理","英","数","欠","自立","数","国","英","理","欠","作業","国","数","道","英","YT","自立","数","国","総","家","欠"
"1年6組","数","英","技家","理","自立","欠","英","理","社","国","数","欠","英","理","数","社","音","欠","理","数","社","道","国","YT","国","数","英","総","理","欠"
"1年7組","国","数","技家","英","理","欠","数","英","理","国","自立","欠","社","理","数","国","音","欠","社","国","英","道","理","YT","国","数","英","総","理","欠"
"2年1組","数","技家","社","保","理","欠","国","保","理","音","英","欠","英","音","数","技","保","欠","理","国","美","道","数","YT","保","社","英","総","国","欠"
"2年2組","国","技家","数","音","英","欠","数","国","英","技","社","欠","国","英","保","理","数","欠","英","美","保","道","国","YT","社","英","国","総","理","欠"
"2年3組","国","技家","数","技","保","欠","数","国","社","英","音","欠","国","英","数","音","社","欠","美","理","数","道","英","YT","国","家","社","総","数","欠"
"2年5組","日生","理","国","社","英","欠","自立","国","理","英","数","欠","自立","数","国","英","理","欠","作業","国","数","道","英","YT","自立","数","国","総","家","欠"
"2年6組","国","技家","数","英","理","欠","数","国","社","理","英","欠","国","英","音","数","理","欠","数","社","理","道","英","YT","国","数","英","総","社","欠"
"2年7組","国","技家","数","英","自立","欠","数","国","英","理","音","欠","国","英","社","音","理","欠","国","英","理","道","社","YT","社","数","英","総","国","欠"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3年1組","国","音","理","英","社","欠","数","英","技家","保","理","国","保","社","美","英","学総","国","数","英","道","保","社","YT","音","国","数","総","英","欠"
"3年2組","英","国","音","数","社","欠","音","数","技家","英","理","社","数","理","社","家","学総","英","国","数","道","美","技","YT","理","数","英","総","社","欠"
"3年3組","英","国","音","理","数","欠","理","数","技家","社","美","英","数","英","技","社","学総","理","社","保","道","数","国","YT","理","国","数","総","保","欠"
"3年5組","日生","理","国","社","英","欠","自立","国","理","英","数","欠","自立","数","国","英","理","欠","作業","国","数","道","英","YT","自立","数","国","総","家","欠"
"3年6組","数","国","英","理","音","欠","理","数","技家","英","社","音","数","英","社","音","学総","理","国","社","道","理","数","YT","理","英","国","総","家","欠"
"3年7組","英","国","音","理","数","欠","音","数","技家","英","理","社","数","理","社","英","学総","音","国","数","道","英","理","YT","理","数","英","総","社","欠"
